customer_id,age,gender,income,region,signup_date,loyalty_score,preferred_channel,device_type,recency,frequency,monetary,account_age,last_purchase_date,group,purchase
1,22,F,28021.50868818915,Unknown,2025-04-12,0.9903355215001276,Web,Other,321.0,2.0,2811.95863114577,129,2027-07-26,D,False
2,58,M,39173.712891287025,South,2020-09-09,0.9128171688904493,App,Tablet,197.0,4.0,3591.5805293458634,1805,2024-10-21,A,False
3,52,unknown,55440.022137663764,East,2024-02-17,0.03396834212665567,,,253.0,12.0,249.44639150650525,549,2026-01-13,C,False
4,40,unknown,37433.60029223174,,2023-11-06,0.5303319676020144,App,,247.0,5.0,2204.8323712587767,652,2025-11-22,A,False
5,40,FEMALE,44432.67119397803,East,2024-07-08,0.06541302684788353,SMS,Mobile,61.0,29.0,463.07227919133106,407,2029-03-16,D,False
6,62,MALE,58827.17385059899,North,2020-11-12,0.9239049236577108,Phone,Other,86.0,24.0,5506.366507027297,1741,2025-09-09,A,False
7,22,female,43024.54637597396,North,2025-04-03,0.4415449126850308,Unknown,Desktop,328.0,14.0,2139.316239390412,138,2025-06-09,A,False
8,54,FEMALE,54521.19178204051,East,2024-05-07,0.41843700392800165,App,Other,102.0,3.0,2409.745190451716,469,2027-02-26,B,False
9,28,unknown,81854.56912039137,West,2020-08-09,0.27294603183931065,SMS,Mobile,317.0,29.0,2264.04603281691,1836,2024-01-07,D,False
10,22,male,46562.82402026005,,2023-01-19,0.5688189803921538,App,Tablet,,22.0,2726.2003330505904,943,2026-01-14,A,False
11,45,FEMALE,73586.75619438413,North,2024-06-22,0.14499872299339278,App,Other,309.0,6.0,1413.9929303860804,423,2029-03-30,B,False
12,999,M,61187.40134614716,West,2022-08-11,0.7989550005355471,Email,Tablet,211.0,2.0,5047.090344809516,1104,2027-02-13,C,False
13,56,Other,20655.160130264667,South,2022-01-31,0.49121034484658366,,Tablet,37.0,18.0,2033.1553685466356,1296,2023-04-28,D,False
14,57,MALE,27957.259414729517,East,2021-07-05,0.5664628913141605,App,Mobile,99.0,2.0,1824.659391938863,1506,2026-03-08,A,False
15,55,unknown,33328.08233860207,East,2022-10-28,0.8408047476545205,App,Mobile,347.0,18.0,2896.8098790635822,1026,2024-11-23,B,False
16,58,MALE,32903.30166134433,South,2025-05-21,0.185148773884949,Email,Other,76.0,13.0,,90,2025-06-21,D,False
17,44,M,48194.20507786371,North,2023-04-30,0.1751830733421157,,Tablet,83.0,26.0,1347.0915337022343,842,2025-02-06,C,False
18,24,Other,62292.880961636445,North,2023-12-15,0.42080167286984616,,Tablet,55.0,12.0,2816.127319017782,613,2025-02-05,C,False
19,61,FEMALE,75103.16833409446,West,2024-04-08,0.7861282411946006,App,Desktop,222.0,13.0,6235.330004137296,498,2028-10-29,B,False
20,41,unknown,56163.501774501645,South,2024-04-05,0.05854555352014612,App,Mobile,295.0,16.0,382.670197748349,501,2027-04-15,D,False
21,44,MALE,41086.40887893581,South,2022-03-11,0.7951702038987456,App,Other,341.0,29.0,-3492.1232891404525,1257,2023-09-18,D,False
22,37,female,8355.175127402515,North,2024-03-17,0.5007565935918098,,Mobile,323.0,21.0,498.7590240218652,520,2024-03-23,B,False
23,27,unknown,51411.79150834676,North,2021-10-18,0.5617634499482246,SMS,Other,322.0,20.0,3182.973076568583,1401,2023-08-12,D,False
