product,date,demand,inventory,lead_time_days
C,2023-01-01,29,171,3.0
B,2023-01-02,21,193,3.0
B,2023-01-03,25,46,3.0
A,2023-01-04,19,189,1.0
A,2023-01-05,20,141,2.0
A,2023-01-06,17,63,3.0
A,2023-01-07,14,124,3.0
A,2023-01-08,19,16,
A,2023-01-09,21,197,3.0
C,2023-01-10,23,119,3.0
B,2023-01-11,25,160,2.0
C,2023-01-12,15,84,1.0
B,2023-01-13,19,147,2.0
B,2023-01-14,26,190,
C,2023-01-15,20,152,1.0
C,2023-01-16,23,21,
B,2023-01-17,17,44,1.0
B,2023-01-18,21,154,3.0
B,2023-01-19,19,46,1.0
C,2023-01-20,17,0,2.0
A,2023-01-21,22,6,2.0
C,2023-01-22,26,37,2.0
C,2023-01-23,22,43,3.0
A,2023-01-24,15,56,1.0
B,2023-01-25,14,177,3.0
C,2023-01-26,20,28,2.0
B,2023-01-27,24,104,1.0
A,2023-01-28,18,157,3.0
C,2023-01-29,16,193,3.0
C,2023-01-30,16,30,2.0
C,2023-01-31,28,163,3.0
A,2023-02-01,18,89,3.0
A,2023-02-02,22,4,2.0
C,2023-02-03,12,21,2.0
A,2023-02-04,23,-4,2.0
B,2023-02-05,21,154,2.0
A,2023-02-06,12,85,3.0
A,2023-02-07,28,132,2.0
B,2023-02-08,27,14,2.0
B,2023-02-09,24,5,3.0
B,2023-02-10,23,188,1.0
A,2023-02-11,26,31,2.0
A,2023-02-12,22,2,2.0
A,2023-02-13,23,123,1.0
A,2023-02-14,14,46,3.0
C,2023-02-15,19,81,2.0
B,2023-02-16,14,5,2.0
B,2023-02-17,22,56,1.0
A,2023-02-18,23,116,1.0
B,2023-02-19,22,124,3.0
C,2023-02-20,14,2,1.0
B,2023-02-21,23,176,
B,2023-02-22,23,153,
C,2023-02-23,27,91,1.0
C,2023-02-24,17,33,1.0
C,2023-02-25,16,40,2.0
B,2023-02-26,20,65,1.0
C,2023-02-27,16,104,1.0
C,2023-02-28,14,10,1.0
B,2023-03-01,24,117,2.0
C,2023-03-02,26,87,3.0
C,2023-03-03,24,37,
C,2023-03-04,17,198,2.0
B,2023-03-05,20,145,2.0
C,2023-03-06,25,116,3.0
A,2023-03-07,12,106,2.0
B,2023-03-08,17,156,
C,2023-03-09,33,129,3.0
C,2023-03-10,24,2,2.0
B,2023-03-11,14,87,3.0
B,2023-03-12,18,128,3.0
A,2023-03-13,17,84,3.0
B,2023-03-14,32,149,2.0
B,2023-03-15,30,38,2.0
C,2023-03-16,11,57,1.0
C,2023-03-17,22,177,1.0
A,2023-03-18,21,61,3.0
C,2023-03-19,18,35,2.0
B,2023-03-20,23,55,3.0
B,2023-03-21,14,46,1.0
C,2023-03-22,26,120,1.0
B,2023-03-23,15,69,3.0
A,2023-03-24,19,52,2.0
A,2023-03-25,22,194,
C,2023-03-26,24,21,1.0
B,2023-03-27,25,108,3.0
B,2023-03-28,23,195,2.0
B,2023-03-29,20,24,2.0
C,2023-03-30,28,136,2.0
B,2023-03-31,21,167,1.0
A,2023-04-01,26,128,3.0
C,2023-04-02,25,54,2.0
A,2023-04-03,24,153,3.0
A,2023-04-04,14,-1,3.0
C,2023-04-05,17,109,3.0
B,2023-04-06,15,145,
A,2023-04-07,25,90,2.0
A,2023-04-08,20,192,1.0
B,2023-04-09,24,73,2.0
C,2023-04-10,23,178,
B,2023-04-11,15,35,1.0
C,2023-04-12,17,2,1.0
A,2023-04-13,22,56,3.0
A,2023-04-14,25,89,3.0
C,2023-04-15,25,112,1.0
C,2023-04-16,16,34,3.0
A,2023-04-17,14,24,
A,2023-04-18,20,57,2.0
C,2023-04-19,17,109,3.0
B,2023-04-20,17,33,3.0
B,2023-04-21,13,132,3.0
A,2023-04-22,24,155,1.0
C,2023-04-23,17,66,1.0
B,2023-04-24,18,52,1.0
C,2023-04-25,21,84,2.0
C,2023-04-26,21,193,1.0
C,2023-04-27,13,82,1.0
A,2023-04-28,18,102,3.0
C,2023-04-29,28,19,1.0
A,2023-04-30,17,112,1.0
B,2023-05-01,29,33,1.0
B,2023-05-02,19,156,1.0
C,2023-05-03,12,59,1.0
A,2023-05-04,23,134,2.0
C,2023-05-05,16,88,1.0
A,2023-05-06,26,171,3.0
B,2023-05-07,15,151,2.0
B,2023-05-08,24,21,3.0
C,2023-05-09,18,47,3.0
A,2023-05-10,21,96,2.0
C,2023-05-11,15,141,1.0
C,2023-05-12,18,107,
C,2023-05-13,19,129,3.0
A,2023-05-14,19,17,1.0
C,2023-05-15,21,127,3.0
C,2023-05-16,16,145,1.0
A,2023-05-17,22,92,3.0
B,2023-05-18,14,88,3.0
B,2023-05-19,27,98,1.0
A,2023-05-20,16,122,2.0
B,2023-05-21,15,157,1.0
B,2023-05-22,15,171,3.0
C,2023-05-23,20,27,3.0
C,2023-05-24,17,140,1.0
B,2023-05-25,27,151,2.0
B,2023-05-26,20,153,1.0
B,2023-05-27,24,70,2.0
C,2023-05-28,26,55,2.0
A,2023-05-29,22,14,1.0
B,2023-05-30,22,86,3.0
A,2023-05-31,16,36,1.0
B,2023-06-01,20,184,1.0
C,2023-06-02,21,143,3.0
B,2023-06-03,19,74,1.0
B,2023-06-04,16,59,
C,2023-06-05,22,91,3.0
B,2023-06-06,20,83,2.0
C,2023-06-07,23,21,1.0
A,2023-06-08,22,88,2.0
B,2023-06-09,21,132,1.0
C,2023-06-10,20,68,2.0
C,2023-06-11,18,41,1.0
B,2023-06-12,20,91,1.0
B,2023-06-13,19,28,2.0
B,2023-06-14,20,41,3.0
B,2023-06-15,15,173,3.0
A,2023-06-16,21,160,1.0
C,2023-06-17,29,31,3.0
A,2023-06-18,28,38,3.0
B,2023-06-19,21,115,3.0
A,2023-06-20,18,152,2.0
C,2023-06-21,27,49,2.0
C,2023-06-22,19,179,1.0
C,2023-06-23,18,94,3.0
C,2023-06-24,21,8,3.0
C,2023-06-25,18,183,2.0
A,2023-06-26,20,198,2.0
A,2023-06-27,13,153,2.0
A,2023-06-28,18,163,2.0
C,2023-06-29,17,152,1.0
C,2023-06-30,21,58,1.0
C,2023-07-01,22,13,1.0
C,2023-07-02,15,137,3.0
C,2023-07-03,22,16,1.0
C,2023-07-04,22,115,2.0
A,2023-07-05,12,153,1.0
A,2023-07-06,25,60,1.0
C,2023-07-07,21,93,2.0
A,2023-07-08,22,90,1.0
C,2023-07-09,24,168,1.0
C,2023-07-10,22,64,2.0
